
### canary_load_0

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
| `cpu_hash_ops`@1 | 1000 | 1.485e+08 | 4.02% | 1.98% | 0.0% | 1 | 4.02% | 1.36 | +0.57% | 21% | 1.99s | 55 |
| `cpu_hash_ops`@16 | 1000 | 1.206e+09 | 7.36% | 3.23% | 1.3% | 1 | 6.80% | 1.52 | -9.70% | 11% | 2.39s | 55 |

### target2_cpu_int

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 1000 | 4.701e+09 | 4.96% | 3.27% | 0.0% | 1 | 4.88% | 1.02 | +3.14% | 29% | 1.65s | 17 |
| `cpu_int_ops`@16 | 1000 | 3.907e+10 | 6.03% | 3.39% | 0.7% | 1 | 5.62% | 1.19 | -7.59% | 34% | 1.53s | 30 |

### target2_trialms200

| config | n | median | CoV | MAD/med | late | att | CoV detrended | sd/robust | drift | slow frac | gap | spikes |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| `cpu_int_ops`@1 | 1000 | 4.852e+09 | 3.88% | 2.66% | 0.0% | 1 | 3.74% | 0.98 | -3.59% | 34% | 1.71s | 10 |
| `cpu_fp_ops`@1 | 1000 | 9.345e+09 | 3.94% | 3.03% | 0.0% | 1 | 3.76% | 0.87 | +4.03% | 37% | 1.70s | 4 |
| `cpu_hash_ops`@1 | 1000 | 1.537e+08 | 3.74% | 2.87% | 0.0% | 1 | 3.31% | 0.87 | -5.99% | 41% | 1.67s | 5 |
